UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
L49327,x_1,299.4,308.9,1550,33.7,174,0,No Failure,28/02/2002 11:00
L49328,x_1,267.4,308.9,1583,34.1,176,0,No Failure,28/02/2002 12:00
L49329,x_1,299.4,309,1613,32.2,178,0,No Failure,28/02/2002 13:00
H31564,X1,283.3,308.8,1636,35.5,180,0,No Failure,28/02/2002 14:00
M17011,x1,299.3,308.7,1289,51.5,185,0,No Failure,28/02/2002 15:00
M17012,x1,299.3,308.8,1648,28.4,188,0,Error,28/02/2002 16:00
H31567,X1,299.3,308.8,1397,45.4,191,0,No Failure,28/02/2002 17:00
M17014,x1,299.3,308.9,1767,24.8,196,0,No Failure,28/02/2002 18:00
L49335,X2,299.3,308.8,1341,47.7,199,0,No Failure,28/02/2012 19:00
M17016,x1,299.4,308.9,1457,41.5,201,0,No Failure,28/02/2002 20:00
M17017,x1,283.4,309,1939,19.8,204,0,No Failure,28/02/2002 21:00
M17018,x1,299.5,309,1399,49.7,207,0,No Failure,28/02/2002 22:00
M17019,x1,299.5,309,1602,111.1,210,0,No Failure,28/02/2002 23:00
L49340,x_1,299.4,309,1507,41,213,0,No Failure,01/03/2002 00:00
L49341,x_1,299.4,309.1,1464,40.5,215,0,No Failure,01/03/2002 01:00
L49342,x_1,299.5,309.1,1336,42.1,217,0,No Failure,01/03/2002 02:00
L49343,x_1,299.6,309.2,1422,39.8,219,0,No Failure,01/03/2002 03:00
L49344,x_1,299.6,309.2,1540,36.7,221,0,No Failure,01/03/2002 04:00
L49345,x_1,299.5,309.1,1476,47.8,223,0,No Failure,01/03/2002 05:00
M17026,x1,299.6,309.2,1867,23.4,225,1,Tool Wear Failure,01/03/2002 06:00
H31581,X1,299.6,309.1,1588,41.3,0,0,No Failure,01/03/2002 07:00
M17028,x1,299.5,309.1,1420,49.5,5,0,No Failure,01/03/2002 08:00
L49349,x_1,299.5,309.1,1415,49.2,8,0,No Failure,01/03/2002 09:00
M17030,x1,299.4,309.1,1500,43.3,10,0,No Failure,01/03/2002 10:00
L49351,x_1,299.5,309.1,1502,44.6,13,0,No Failure,01/03/2002 11:00
L49352,x_1,299.5,309.2,1816,23,15,0,No Failure,01/03/2002 12:00
M17033,x1,299.5,309.2,1495,41.6,17,0,No Failure,01/03/2002 13:00
L49354,x_1,299.6,309.2,1572,33.4,20,0,No Failure,01/03/2002 14:00
M17035,x1,299.5,309.2,1590,35.9,22,0,No Failure,01/03/2002 15:00
M17036,x1,299.6,309.3,1387,48.3,25,0,No Failure,01/03/2002 16:00
M17037,x1,299.6,309.2,1393,47.7,28,0,No Failure,01/03/2002 17:00
L49358,x_1,299.6,309.2,1602,37.3,31,0,No Failure,01/03/2002 18:00
L49359,x_1,299.6,309.2,1601,33.3,33,0,No Failure,01/03/2002 19:00
H31594,X1,299.6,309.2,1597,36.3,35,0,No Failure,01/03/2002 20:00
H31595,X1,299.5,309.1,1548,44.3,40,0,No Failure,01/03/2002 21:00
M17042,x1,299.5,309.2,1314,61.8,45,0,No Failure,01/03/2002 22:00
M17043,x1,299.6,309.3,1577,39.8,48,0,No Failure,01/03/2002 23:00
L49364,x_1,299.8,309.4,1475,43.4,51,0,No Failure,02/03/2002 00:00
L49365,x_1,299.8,309.4,1630,32.4,53,0,No Failure,02/03/2002 01:00
L49366,x_1,299.7,309.4,1445,42.9,55,0,No Failure,02/03/2002 02:00
M17047,x1,299.8,309.4,1439,47.4,57,0,No Failure,02/03/2002 03:00
L49368,x_1,299.7,309.3,1420,44.1,60,0,No Failure,02/03/2002 04:00
H31603,X1,283.7,309.2,1554,41.6,62,0,No Failure,02/03/2002 05:00
M17050,x1,299.6,309.1,1471,44.3,67,0,No Failure,02/03/2002 06:00
L49371,x_1,299.6,309,1648,33.6,70,0,No Failure,02/03/2002 07:00
L49372,x_1,299.6,309,1472,48.8,72,0,No Failure,02/03/2002 08:00
M17053,x1,299.5,308.9,1448,42.9,74,0,No Failure,02/03/2002 09:00
M17054,x1,299.6,308.9,1568,35.3,77,0,No Failure,02/03/2002 10:00
L49375,x_1,299.6,308.9,1613,30.8,80,0,No Failure,02/03/2002 11:00
M17056,x1,299.7,308.9,1551,35.4,82,0,No Failure,02/03/2002 12:00
L49377,x_1,299.7,309,1412,49.2,85,0,No Failure,02/03/2002 13:00
M17058,x1,299.7,308.9,1478,41,87,0,No Failure,02/03/2002 14:00
M17059,x1,299.8,309.1,1268,58,90,0,No Failure,02/03/2002 15:00
L49380,x_1,299.8,309.1,1546,35.6,93,0,No Failure,02/03/2002 16:00
L49381,x_1,299.8,309,1567,36.1,95,0,No Failure,02/03/2002 17:00
M17062,x1,299.9,309.2,1548,35.7,97,0,No Failure,02/03/2002 18:00
L49383,x_1,299.8,309,1614,30.8,100,0,No Failure,02/03/2002 19:00
M17064,x1,299.7,309.1,1352,46.1,102,0,No Failure,02/03/2002 20:00
L49385,x_1,299.9,309.2,1624,34.6,105,0,No Failure,02/03/2002 21:00
L49386,x_1,299.9,309.2,1436,52,107,0,No Failure,02/03/2002 22:00
L49387,x_1,299.8,309.2,1591,37.5,109,0,No Failure,02/03/2002 23:00
H31622,X1,299.8,309.2,1435,42.6,111,0,No Failure,03/03/2002 00:00
L49389,x_1,299.8,309.3,1386,49.4,116,0,No Failure,03/03/2002 01:00
L49390,x_1,299.7,309.2,1401,54.1,118,0,No Failure,03/03/2002 02:00
M17071,x1,299.6,309,1245,64,120,0,No Failure,03/03/2002 03:00
L49392,x_1,299.7,309.1,1475,40,123,0,No Failure,03/03/2002 04:00
L49393,x_1,299.7,309.1,1473,39.4,125,0,No Failure,03/03/2002 05:00
H31628,X1,299.7,309.2,1355,44.8,127,0,No Failure,03/03/2002 06:00
H31629,X1,299.7,309.2,1468,49.6,132,0,No Failure,03/03/2002 07:00
L49396,x_1,299.7,309.2,,110.6,137,0,No Failure,03/03/2002 08:00
L49397,x_1,299.7,309.1,1347,135.1,139,0,No Failure,03/03/2002 09:00
L49398,x_1,299.7,309.1,1713,33.5,141,0,No Failure,03/03/2002 10:00
M17079,x1,299.6,309.1,1435,48.4,143,0,No Failure,03/03/2002 11:00
M17080,x1,299.6,309,1736,26.1,146,0,No Failure,03/03/2002 12:00
L49401,x_1,299.6,309,1372,60.4,149,0,No Failure,03/03/2002 13:00
L49402,x_1,299.7,309,1605,33,151,0,No Failure,03/03/2002 14:00
L49403,x_1,299.6,309,1413,48.5,153,0,No Failure,03/03/2002 15:00
M17084,x1,299.7,309,1645,31.9,155,0,No Failure,03/03/2002 16:00
M17085,x1,299.7,309,1465,49,158,0,No Failure,03/03/2002 17:00
M17086,x1,299.6,308.9,1685,27.8,161,0,No Failure,03/03/2002 18:00
L49407,x_1,299.5,308.8,1965,20.4,164,0,No Failure,03/03/2002 19:00
H31642,X1,299.4,308.6,1542,41.8,166,0,No Failure,03/03/2002 20:00
L49409,x_1,299.4,308.7,1681,30.8,171,0,No Failure,03/03/2002 21:00
L49410,x_1,299.5,308.7,1446,45.7,173,0,No Failure,03/03/2002 22:00
L49411,x_1,299.4,308.6,1415,56.4,175,0,No Failure,03/03/2002 23:00
L49412,x_1,299.5,308.6,1672,30.5,177,0,No Failure,04/03/2002 00:00
L49413,x_1,299.5,308.7,2549,92.8,179,1,Power Failure,04/03/2002 01:00
L49414,x_1,299.4,308.6,1492,40.5,181,0,No Failure,04/03/2002 02:00
M17095,x1,283.4,308.6,1455,42.7,183,0,No Failure,04/03/2002 03:00
M17096,x1,299.3,308.5,1422,43.1,186,0,No Failure,04/03/2002 04:00
L49417,x_1,299.3,308.6,1403,50.6,189,0,No Failure,04/03/2002 05:00
L49418,x_1,299.3,308.6,1474,49.6,191,0,No Failure,04/03/2002 06:00
L49419,x_1,299.2,308.6,1381,50,193,0,No Failure,04/03/2002 07:00
L49420,x_1,299.2,308.5,1457,44.7,195,0,No Failure,04/03/2002 08:00
L49421,x_1,299.2,308.4,1711,28.9,197,0,No Failure,04/03/2002 09:00
L49422,x_1,299.2,308.4,1667,29,199,0,No Failure,04/03/2002 10:00
L49423,x_1,299.2,308.4,1465,35,201,0,No Failure,04/03/2002 11:00
M17104,x1,299.3,308.4,1542,37.5,203,1,Tool Wear Failure,04/03/2002 12:00
M17105,x1,299.3,308.4,1438,42.3,0,0,No Failure,04/03/2002 13:00
L49426,x_1,299.3,308.4,1406,47.4,3,0,No Failure,04/03/2002 14:00
M17107,x1,299.2,308.4,1396,48.5,5,0,No Failure,04/03/2002 15:00
M17108,x1,299.3,308.5,1304,60.6,8,0,No Failure,04/03/2002 16:00
L49429,x_1,299.2,308.5,1442,46.5,11,0,No Failure,04/03/2002 17:00
M17110,x1,299.2,308.4,1396,48.7,13,0,No Failure,04/03/2002 18:00
H31665,X1,299.1,308.3,1424,123.2,16,0,No Failure,04/03/2002 19:00
H31666,X1,299.1,308.3,1451,42.8,21,0,No Failure,04/03/2002 20:00
L49433,x_1,299.2,308.4,1386,54.1,26,0,No Failure,04/03/2002 21:00
L49434,x_1,299.1,308.3,1325,46.9,28,0,No Failure,04/03/2002 22:00
L49435,x_1,299.1,308.3,1559,33.7,30,0,No Failure,04/03/2002 23:00
L49436,x_1,299.1,308.3,1489,38.1,32,0,No Failure,05/03/2002 00:00
L49437,x_1,299.1,308.3,1892,25.2,34,0,No Failure,05/03/2002 01:00
L49438,x_1,283.1,308.2,1319,60.3,36,0,No Failure,05/03/2002 02:00
L49439,x_1,299.1,308.3,1431,52.3,38,0,No Failure,05/03/2002 03:00
H31674,X1,299.1,308.3,1521,36.5,40,0,No Failure,05/03/2002 04:00
M17121,x1,299.1,308.2,1435,45.2,45,0,No Failure,05/03/2002 05:00
L49442,x_1,299.1,308.3,1533,42.4,48,0,No Failure,05/03/2002 06:00
M17123,x1,299.2,308.4,1529,43,50,0,No Failure,05/03/2002 07:00
M17124,x1,299.2,308.4,1415,43.5,53,0,No Failure,05/03/2002 08:00
M17125,x1,299.2,308.4,1330,51.2,56,0,Error,05/03/2002 09:00
L49446,x_1,299.2,308.5,1381,60.6,59,0,No Failure,05/03/2002 10:00
L49447,x_1,299.2,308.5,1370,52.4,61,0,No Failure,05/03/2002 11:00
L49448,x_1,299.2,308.5,1438,46.6,63,0,No Failure,05/03/2002 12:00
L49449,x_1,299.3,308.6,1314,48.2,65,0,No Failure,05/03/2002 13:00
L49450,x_1,299.3,308.6,1437,48.1,67,0,No Failure,05/03/2002 14:00
L49451,x_1,299.2,308.5,1821,105.9,69,0,No Failure,05/03/2002 15:00
M17132,x1,299.3,308.6,1448,52.1,71,0,No Failure,05/03/2002 16:00
L49453,x_1,283.3,308.5,1589,32.7,74,0,No Failure,05/03/2002 17:00
L49454,x_1,299.3,308.6,1520,33.7,76,0,No Failure,05/03/2002 18:00
L49455,x_1,299.3,308.6,1605,37,78,0,No Failure,05/03/2002 19:00
L49456,x_1,299.3,308.7,1393,54.2,80,0,No Failure,05/03/2002 20:00
H31691,X1,299.3,308.7,1408,44.4,82,0,No Failure,05/03/2002 21:00
M17138,x1,299.3,308.7,1459,35.6,87,0,No Failure,05/03/2002 22:00
L49459,x_1,299.4,308.7,1525,39,90,0,No Failure,05/03/2002 23:00
L49460,x_1,299.4,308.8,1390,57,92,0,No Failure,06/03/2002 00:00
L49461,x_1,299.3,308.7,1536,38.9,94,0,No Failure,06/03/2002 01:00
L49462,x_1,299.4,308.7,1459,47.6,96,0,No Failure,06/03/2002 02:00
L49463,x_1,283.2,308.5,1387,51.1,98,0,No Failure,06/03/2002 03:00
L49464,x_1,299.2,308.5,1378,53.4,100,0,No Failure,06/03/2002 04:00
L49465,x_1,283.4,308.7,1381,56.7,102,0,No Failure,06/03/2002 05:00
M17146,x1,299.4,308.7,1289,60.5,104,0,No Failure,06/03/2002 06:00
L49467,x_1,299.4,308.6,1746,26.8,107,0,No Failure,06/03/2002 07:00
M17148,x1,299.4,308.6,1541,39.1,109,0,No Failure,06/03/2002 08:00
L49469,x_1,299.4,308.7,1504,37.8,112,0,No Failure,06/03/2002 09:00
M17150,x1,299.5,308.7,1321,51.9,114,0,No Failure,06/03/2002 10:00
M17151,x1,299.5,308.8,1886,20.9,117,0,No Failure,06/03/2002 11:00
L49472,x_1,299.6,308.9,1422,53.2,120,0,No Failure,06/03/2002 12:00
L49473,x_1,299.5,308.9,1520,38.3,122,0,No Failure,06/03/2002 13:00
L49474,x_1,299.4,308.8,1627,32.6,124,0,No Failure,06/03/2002 14:00
L49475,x_1,299.4,308.7,1512,37.2,126,0,No Failure,06/03/2002 15:00
L49476,x_1,299.4,308.7,1553,42.7,128,0,No Failure,06/03/2002 16:00
L49477,x_1,299.3,308.7,1802,26,130,0,No Failure,06/03/2002 17:00
L49478,x_1,299.3,308.6,1482,37.6,132,0,No Failure,06/03/2002 18:00
L49479,x_1,299.4,308.7,1446,62.9,134,1,Power Failure,06/03/2002 19:00
L49480,x_1,299.3,308.6,1371,50.5,136,0,No Failure,06/03/2002 20:00
M17161,x1,299.2,308.6,1586,35.7,138,0,No Failure,06/03/2002 21:00
L49482,x_1,299.2,308.5,1515,39.8,141,0,No Failure,06/03/2002 22:00
L49483,x_1,299.2,308.5,1374,53.6,143,0,No Failure,06/03/2002 23:00
L49484,x_1,299.1,308.5,1455,39.8,145,0,No Failure,07/03/2002 00:00
H31719,X1,299.2,308.5,1342,47.5,147,0,No Failure,07/03/2002 01:00
L49486,x_1,299.1,308.6,1260,57.8,152,0,No Failure,07/03/2002 02:00
H31721,X1,283,308.5,1623,33.5,154,0,No Failure,07/03/2002 03:00
L49488,x_1,299.1,308.5,1371,55.5,159,0,No Failure,07/03/2002 04:00
L49489,x_1,299.1,308.6,1611,31.4,161,0,No Failure,07/03/2002 05:00
M17170,x1,299,308.4,1535,47.5,163,0,No Failure,07/03/2002 06:00
M17171,x1,299.1,308.6,1491,38.5,166,0,No Failure,07/03/2002 07:00
M17172,x1,299.1,308.6,1441,36.2,169,0,No Failure,07/03/2002 08:00
M17173,x1,299.1,308.8,1725,106.4,172,0,No Failure,07/03/2002 09:00
L49494,x_1,299.2,308.9,1368,47.2,175,0,No Failure,07/03/2002 10:00
L49495,x_1,299.2,308.9,1526,37.9,177,0,No Failure,07/03/2002 11:00
L49496,x_1,299.2,308.8,1542,39.2,179,0,No Failure,07/03/2002 12:00
L49497,x_1,299.2,308.8,1605,31.1,181,0,No Failure,07/03/2002 13:00
L49498,x_1,299.2,308.8,1405,51.4,183,0,No Failure,07/03/2002 14:00
M17179,x1,299.2,308.8,1700,33.5,185,0,No Failure,07/03/2002 15:00
H31734,X1,299.2,308.8,1440,39.1,188,0,No Failure,07/03/2002 16:00
M17181,x1,299.2,308.8,1314,52.5,193,0,No Failure,07/03/2002 17:00
L49502,x_1,299.2,308.7,1514,121.7,196,0,No Failure,07/03/2002 18:00
M17183,x1,299.2,308.7,1401,47,198,0,No Failure,07/03/2002 19:00
L49504,x_1,299.3,308.8,1636,29.9,201,0,No Failure,07/03/2002 20:00
L49505,x_1,299.3,308.8,1603,33.9,203,0,No Failure,07/03/2002 21:00
M17186,x1,299.4,308.7,1487,52.6,205,0,No Failure,07/03/2002 22:00
M17187,x1,299.3,308.7,1420,50.3,208,0,No Failure,07/03/2002 23:00
L49508,x_1,299.3,308.7,1579,36.3,211,0,No Failure,08/03/2002 00:00
L49509,x_1,299.3,308.7,1484,40.5,213,0,No Failure,08/03/2002 01:00
M17190,x1,299.3,308.7,1390,49.3,215,0,No Failure,08/03/2002 02:00
L49511,x_1,299.3,308.6,1384,53.6,218,1,Overstrain Failure,08/03/2002 03:00
L49512,x_1,299.2,308.5,1378,50.4,220,1,Overstrain Failure,08/03/2002 04:00
L49513,x_1,299.2,308.5,1445,45.2,222,0,No Failure,08/03/2002 05:00
L49514,x_1,299.2,308.4,1445,43.5,224,0,No Failure,08/03/2002 06:00
L49515,x_1,299.2,308.4,1509,39.4,0,0,No Failure,08/03/2002 07:00
L49516,x_1,299.2,308.4,1434,46.8,2,0,No Failure,08/03/2002 08:00
L49517,x_1,299.2,308.4,1877,103.7,4,0,No Failure,08/03/2002 09:00
L49518,x_1,299.3,308.3,1651,28,6,0,No Failure,08/03/2002 10:00
L49519,x_1,299.2,308.2,1466,41.3,8,0,No Failure,08/03/2002 11:00
L49520,x_1,299.1,308.1,1479,40.7,10,0,No Failure,08/03/2002 12:00
L49521,x_1,299.1,308.2,1409,46.4,12,0,No Failure,08/03/2002 13:00
M17202,x1,299.2,308.2,1674,28.2,14,0,No Failure,08/03/2002 14:00
L49523,x_1,299.1,308.3,1305,61.4,17,0,No Failure,08/03/2002 15:00
M17204,x1,299.2,308.3,1755,26.4,19,0,No Failure,08/03/2002 16:00
L49525,x_1,299.2,308.4,1475,38.7,22,0,No Failure,08/03/2002 17:00
L49526,x_1,299.2,308.4,1402,47.7,24,0,No Failure,08/03/2002 18:00
L49527,x_1,299.2,308.3,1410,43,26,0,No Failure,08/03/2002 19:00
L49528,x_1,299.2,308.4,1436,41.8,28,0,No Failure,08/03/2002 20:00
M17209,x1,299.3,308.5,1386,42.2,30,0,No Failure,08/03/2002 21:00
L49530,x_1,299.3,308.6,1744,26.4,33,0,No Failure,08/03/2002 22:00
L49531,x_1,299.2,308.4,1393,48.4,35,0,No Failure,08/03/2002 23:00
M17212,x1,283.3,308.5,1422,45.4,37,0,No Failure,09/03/2002 00:00
L49533,x_1,299.2,308.4,1841,22.8,40,0,No Failure,09/03/2002 01:00
L49534,x_1,299.3,308.6,1433,37.7,42,0,No Failure,09/03/2002 02:00
M17215,x1,299.3,308.5,1305,60.6,44,0,No Failure,09/03/2002 03:00
H31770,X1,299.3,308.6,1498,39.5,47,0,No Failure,09/03/2002 04:00
L49537,x_1,299.3,308.5,1772,26.1,52,0,No Failure,09/03/2002 05:00
M17218,x1,299.2,308.4,1381,42.5,54,0,No Failure,09/03/2002 06:00
L49539,x_1,299.3,308.5,1413,38.5,57,0,No Failure,09/03/2002 07:00
H31774,X1,299.2,308.4,1388,53.2,59,0,No Failure,09/03/2002 08:00
M17221,x1,299.2,308.6,1631,35.4,64,0,No Failure,09/03/2002 09:00
H31776,X1,299.3,308.6,1520,41.4,67,0,No Failure,09/03/2002 10:00
L49543,x_1,283.3,308.5,1510,45.4,72,0,No Failure,09/03/2002 11:00
L49544,x_1,299.2,308.5,1366,49.7,74,0,No Failure,09/03/2002 12:00
L49545,x_1,299.4,308.5,1845,22.9,76,0,No Failure,09/03/2002 13:00
L49546,x_1,299.3,308.5,1485,44.7,78,0,No Failure,09/03/2002 14:00
M17227,x1,299.3,308.5,1496,39.4,80,0,No Failure,09/03/2002 15:00
M17228,x1,299.3,308.4,,42.2,83,0,No Failure,09/03/2002 16:00
M17229,x1,299.2,308.4,1856,22.7,86,0,No Failure,09/03/2002 17:00
L49550,x_1,299.2,308.4,1620,34.1,89,0,No Failure,09/03/2002 18:00
L49551,x_1,299.3,308.5,1409,44.8,91,0,No Failure,09/03/2002 19:00
M17232,x1,299.3,308.5,1404,49.4,93,0,No Failure,09/03/2002 20:00
L49553,x_1,299.2,308.4,1350,51.3,96,0,No Failure,09/03/2002 21:00
M17234,x1,299.2,308.4,1538,38,98,0,No Failure,09/03/2002 22:00
M17235,x1,299.2,308.4,1476,32.7,101,0,No Failure,09/03/2002 23:00
M17236,x1,299.2,308.3,1364,51.8,104,0,No Failure,10/03/2002 00:00
M17237,x1,299.2,308.3,1582,45.5,107,0,No Failure,10/03/2002 01:00
L49558,x_1,299.1,308.2,1348,56.1,110,0,No Failure,10/03/2002 02:00
H31793,X1,299.1,308.2,1450,46.1,112,0,No Failure,10/03/2002 03:00
L49560,x_1,299,308.1,1242,60.9,117,0,No Failure,10/03/2002 04:00
L49561,x_1,299.1,308.2,1493,34.9,119,0,No Failure,10/03/2002 05:00
L49562,x_1,299.1,308.3,1601,31.4,121,0,No Failure,10/03/2002 06:00
L49563,x_1,283.1,308.2,1568,33.3,123,0,No Failure,10/03/2002 07:00
M17244,x1,299.1,308.3,1506,38,125,0,No Failure,10/03/2002 08:00
L49565,x_1,299.1,308.3,1524,34.1,128,0,No Failure,10/03/2002 09:00
L49566,x_1,299.1,308.4,1543,37.9,130,0,No Failure,10/03/2002 10:00
M17247,x1,299.2,308.5,1474,47.2,132,0,No Failure,10/03/2002 11:00
M17248,x1,299.2,308.5,1526,37.3,135,0,No Failure,10/03/2002 12:00
L49569,x_1,299.2,308.5,,27,138,0,No Failure,10/03/2002 13:00
L49570,x_1,299.2,308.5,1487,41.2,140,0,No Failure,10/03/2002 14:00
L49571,x_1,299.2,308.4,1580,32.6,142,0,No Failure,10/03/2002 15:00
L49572,x_1,299.2,308.5,1340,50,144,0,No Failure,10/03/2002 16:00
L49573,x_1,299.2,308.5,1544,41.6,146,0,No Failure,10/03/2002 17:00
L49574,x_1,299.2,308.5,1488,40.3,148,0,No Failure,10/03/2002 18:00
M17255,x1,299.2,308.5,1742,28.9,150,0,No Failure,10/03/2002 19:00
M17256,x1,299.1,308.5,1592,34.2,153,0,No Failure,10/03/2002 20:00
L49577,x_1,299.2,308.6,1582,38.8,156,0,No Failure,10/03/2002 21:00
L49578,x_1,299.2,308.5,1490,43.2,158,0,No Failure,10/03/2002 22:00
M17259,x1,299.2,308.5,1594,35.8,160,0,No Failure,10/03/2002 23:00
H31814,X1,299.2,308.6,1462,55,163,0,No Failure,11/03/2002 00:00
M17261,x1,299.2,308.6,1367,47.6,168,0,No Failure,11/03/2002 01:00
L49582,x_1,299.2,308.7,1325,51,171,0,No Failure,11/03/2002 02:00
H31817,X1,299.2,308.7,1448,51.4,173,0,No Failure,11/03/2002 03:00
M17264,x1,299.1,308.7,2008,20.3,178,0,No Failure,11/03/2002 04:00
L49585,x_1,299.1,308.7,1498,38.9,181,0,No Failure,11/03/2002 05:00
L49586,x_1,299.1,308.6,1437,41.6,183,0,No Failure,11/03/2002 06:00
M17267,x1,299.1,308.6,1499,45.1,185,0,No Failure,11/03/2002 07:00
L49588,x_1,299,308.4,1356,52.6,188,0,No Failure,11/03/2002 08:00
L49589,x_1,299.1,308.5,1539,46.8,190,0,No Failure,11/03/2002 09:00
L49590,x_1,299.1,308.5,1689,32.1,192,0,No Failure,11/03/2002 10:00
L49591,x_1,299,308.5,1559,38.1,194,0,No Failure,11/03/2002 11:00
L49592,x_1,299.1,308.6,1408,46.7,196,0,No Failure,11/03/2002 12:00
L49593,x_1,299,308.5,1886,23,198,0,No Failure,11/03/2002 13:00
L49594,x_1,299.1,308.5,1415,43.4,0,0,No Failure,11/03/2002 14:00
M17275,x1,299.1,308.5,1587,35.6,2,0,No Failure,11/03/2002 15:00
L49596,x_1,299,308.4,1571,38.6,5,0,No Failure,11/03/2002 16:00
L49597,x_1,298.9,308.3,1576,36.6,7,0,No Failure,11/03/2002 17:00
L49598,x_1,298.9,308.3,1660,114.2,9,0,No Failure,11/03/2002 18:00
M17279,x1,298.9,308.2,1328,49.2,11,0,No Failure,11/03/2002 19:00
H31834,X1,298.8,308.2,1450,124.5,14,0,No Failure,11/03/2002 20:00
L49601,x_1,298.9,308.2,2384,94.8,19,0,No Failure,11/03/2002 21:00
L49602,x_1,298.8,308.2,1443,133.2,21,0,Error,11/03/2002 22:00
M17283,x1,298.9,308.2,2022,20,23,0,No Failure,11/03/2002 23:00
L49604,x_1,298.9,308.2,1828,23.8,26,0,No Failure,12/03/2002 00:00
L49605,x_1,298.8,308.1,1472,53.5,28,0,No Failure,12/03/2002 01:00
M17286,x1,298.9,308.2,1372,63.6,30,1,Power Failure,12/03/2002 02:00
L49607,x_1,298.9,308.3,1855,23.8,33,0,No Failure,12/03/2002 03:00
M17288,x1,299,308.3,1377,47.2,35,0,No Failure,12/03/2002 04:00
L49609,x_1,298.9,308.3,1432,48.9,38,0,No Failure,12/03/2002 05:00
M17290,x1,298.9,308.2,1335,47.8,40,0,No Failure,12/03/2002 06:00
M17291,x1,298.9,308.2,1411,51.3,43,0,No Failure,12/03/2002 07:00
L49612,x_1,298.9,308.2,1510,43.5,46,0,No Failure,12/03/2002 08:00
L49613,x_1,299,308.3,1441,44,48,0,No Failure,12/03/2002 09:00
M17294,x1,299,308.2,1358,42.7,50,0,No Failure,12/03/2002 10:00
L49615,x_1,298.9,308.2,1686,30.4,53,0,No Failure,12/03/2002 11:00
H31850,X2,299,308.2,1662,30.4,55,0,No Failure,12/03/2012 12:00
L49617,x_1,299.1,308.3,1426,40.1,60,0,No Failure,12/03/2002 13:00
M17298,x1,299.1,308.4,1330,53.6,62,0,No Failure,12/03/2002 14:00
L49619,x_1,299.1,308.4,1693,111.4,65,0,No Failure,12/03/2002 15:00
L49620,x_1,299.1,308.4,1426,47.9,67,0,No Failure,12/03/2002 16:00
L49621,x_1,299.1,308.5,1676,31,69,0,No Failure,12/03/2002 17:00
M17302,x1,299.1,308.4,1332,51.7,71,0,No Failure,12/03/2002 18:00
L49623,x_1,299.1,308.5,1647,35,74,0,No Failure,12/03/2002 19:00
L49624,x_1,299.2,308.6,1267,68.2,76,1,Power Failure,12/03/2002 20:00
H31859,X1,299.2,308.7,1375,55.1,78,0,No Failure,12/03/2002 21:00
L49626,x_1,299.3,308.6,1422,48.9,83,0,No Failure,12/03/2002 22:00
L49627,x_1,299.3,308.7,1408,48.7,85,0,No Failure,12/03/2002 23:00
L49628,x_1,299.4,308.9,1440,42.5,87,0,No Failure,13/03/2002 00:00
L49629,x_1,299.3,308.8,1772,25.2,89,0,No Failure,13/03/2002 01:00
L49630,x_1,299.2,308.7,1492,37.8,91,0,No Failure,13/03/2002 02:00
L49631,x_1,283.2,308.7,1650,30.5,93,0,No Failure,13/03/2002 03:00
M17312,x1,299.1,308.6,2329,14.6,95,0,No Failure,13/03/2002 04:00
L49633,x_1,299,308.6,1648,30.8,98,0,No Failure,13/03/2002 05:00
L49634,x_1,283,308.6,1653,111.5,100,0,No Failure,13/03/2002 06:00
L49635,x_1,299,308.6,1946,22.3,102,0,No Failure,13/03/2002 07:00
L49636,x_1,299.1,308.6,1555,36.6,104,0,No Failure,13/03/2002 08:00
L49637,x_1,299,308.6,1661,32.2,106,0,No Failure,13/03/2002 09:00
L49638,x_1,299,308.6,1434,45.9,108,0,No Failure,13/03/2002 10:00
L49639,x_1,299,308.6,1297,54.2,110,0,No Failure,13/03/2002 11:00
L49640,x_1,299,308.6,1466,46.4,112,0,No Failure,13/03/2002 12:00
M17321,x1,298.9,308.6,1517,39.8,114,0,No Failure,13/03/2002 13:00
L49642,x_1,282.9,308.5,1742,34.5,117,0,No Failure,13/03/2002 14:00
L49643,x_1,298.9,308.5,1580,39.1,119,0,No Failure,13/03/2002 15:00
M17324,x1,298.9,308.5,1534,42.9,121,0,No Failure,13/03/2002 16:00
L49645,x_1,298.9,308.6,1481,40.7,124,0,No Failure,13/03/2002 17:00
L49646,x_1,299,308.6,1429,37.7,126,0,No Failure,13/03/2002 18:00
M17327,x1,298.9,308.6,1574,33.5,128,0,No Failure,13/03/2002 19:00
M17328,x1,298.9,308.6,1524,40.4,131,0,No Failure,13/03/2002 20:00
L49649,x_1,299,308.7,1507,37.5,134,0,No Failure,13/03/2002 21:00
L49650,x_1,298.9,308.5,1467,44.7,136,0,No Failure,13/03/2002 22:00
L49651,x_1,298.9,308.4,1301,51.1,138,0,No Failure,13/03/2002 23:00
L49652,x_1,298.9,308.5,1429,55.1,140,0,No Failure,14/03/2002 00:00
M17333,x1,298.9,308.5,1555,37.6,142,0,No Failure,14/03/2002 01:00
L49654,x_1,298.9,308.5,1503,40.6,145,0,No Failure,14/03/2002 02:00
L49655,x_1,298.9,308.5,1459,43.1,147,0,No Failure,14/03/2002 03:00
